                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.673,                 6.0314,                 4.4189,                  7e-05,                0.02703,                  6e-05,                  2e-05,                 5.1184,                 6.7691,                 4.1586,                0.00012,                0.00012,                0.00012
                      2,                 4.5195,                 5.7671,                 4.3241,                  7e-05,                0.02703,                  6e-05,                  2e-05,                 5.1213,                 6.7623,                 4.1598,             0.00025794,             0.00025794,             0.00025794
                      3,                 4.1371,                 5.8096,                 4.2064,                  7e-05,                0.02703,                  6e-05,                  1e-05,                 5.1284,                 6.7469,                 4.1642,             0.00039366,             0.00039366,             0.00039366
                      4,                 4.1738,                 5.4986,                 4.1033,                  7e-05,                0.02703,                  6e-05,                  2e-05,                 5.1366,                 6.7328,                 4.1706,             0.00052717,             0.00052717,             0.00052717
                      5,                 4.1186,                 5.3623,                 4.0324,                  8e-05,                0.02703,                  7e-05,                  2e-05,                 5.1475,                 6.7106,                 4.1825,             0.00065846,             0.00065846,             0.00065846
                      6,                  3.874,                 5.2748,                 3.9561,                  8e-05,                0.02703,                  6e-05,                  2e-05,                 5.1631,                 6.6774,                 4.1961,             0.00078753,             0.00078753,             0.00078753
                      7,                 3.7207,                 4.8415,                 3.6491,                  8e-05,                0.02703,                  5e-05,                  1e-05,                 5.2316,                 6.6743,                  4.265,             0.00091438,             0.00091438,             0.00091438
                      8,                 3.4759,                 4.4481,                  3.516,                0.00011,                0.04054,                  9e-05,                  2e-05,                  5.207,                 6.6059,                 4.2688,               0.001039,               0.001039,               0.001039
                      9,                 3.2513,                 3.9386,                 3.4165,                  7e-05,                0.02703,                  4e-05,                  1e-05,                 5.1995,                 6.4289,                 4.3369,              0.0011614,              0.0011614,              0.0011614
                     10,                 3.1179,                 3.8129,                 3.2913,                 0.0001,                0.04054,                  7e-05,                  2e-05,                 5.2153,                 6.3064,                 4.3974,              0.0012816,              0.0012816,              0.0012816
                     11,                 2.9242,                  3.742,                 3.2206,                 0.0001,                0.04054,                  8e-05,                  2e-05,                 5.0148,                 5.9295,                 4.2003,              0.0013996,              0.0013996,              0.0013996
