                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4286,                 5.6931,                 4.0986,                0.00011,                0.03704,                  6e-05,                  1e-05,                 5.1639,                 6.3401,                 4.2162,             0.00065537,             0.00065537,             0.00065537
                      2,                 2.9907,                 3.7386,                  3.089,                0.18749,                0.20513,                0.10064,                0.03305,                   2.66,                 4.2869,                 3.4432,              0.0013162,              0.0013162,              0.0013162
                      3,                 2.4882,                 2.7939,                 2.6097,                0.23202,                 0.2849,                0.18752,                0.06258,                 2.2062,                 5.8526,                 3.2015,              0.0019712,              0.0019712,              0.0019712
                      4,                 2.3441,                  2.289,                 2.4597,                0.40043,                0.32479,                0.33174,                0.13238,                 2.2022,                 2.7385,                 2.5138,              0.0019736,              0.0019736,              0.0019736
                      5,                 2.1872,                 1.9372,                 2.3576,                0.69441,                0.69273,                0.70307,                0.31942,                  1.892,                 1.7436,                 2.2929,              0.0019648,              0.0019648,              0.0019648
                      6,                  2.026,                 1.6822,                 2.2333,                0.75956,                0.76211,                0.77951,                0.40065,                 1.6999,                 1.4458,                 2.1257,               0.001956,               0.001956,               0.001956
                      7,                 1.9331,                 1.5553,                 2.1114,                 0.5821,                0.74011,                0.63796,                0.32635,                 1.7147,                 1.5831,                 2.0373,              0.0019472,              0.0019472,              0.0019472
                      8,                 1.8253,                 1.3636,                 2.0153,                0.69754,                0.67521,                0.72521,                0.40872,                 1.5791,                 1.5856,                  1.952,              0.0019384,              0.0019384,              0.0019384
                      9,                 1.6864,                 1.3074,                 1.9076,                0.70069,                0.82369,                0.78551,                0.44193,                 1.5371,                 1.2887,                 1.8939,              0.0019296,              0.0019296,              0.0019296
                     10,                 1.6143,                 1.2004,                 1.8328,                0.74703,                0.77208,                0.80421,                0.42377,                 1.5801,                 1.4797,                 1.9273,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.5631,                 1.1662,                 1.7784,                0.78198,                0.85324,                 0.8502,                0.50723,                 1.4314,                 1.1289,                 1.8149,               0.001912,               0.001912,               0.001912
                     12,                 1.5552,                 1.1255,                 1.7738,                0.76773,                0.80199,                0.80017,                0.42509,                 1.6089,                 1.2394,                 1.9266,              0.0019032,              0.0019032,              0.0019032
                     13,                 1.5153,                 1.1237,                 1.7274,                0.65601,                 0.8547,                0.76291,                0.46276,                 1.3564,                 1.2425,                 1.7318,              0.0018944,              0.0018944,              0.0018944
                     14,                 1.4823,                 1.0877,                 1.6949,                0.79233,                0.85755,                0.84857,                0.48516,                 1.4668,                 1.0947,                 1.8059,              0.0018856,              0.0018856,              0.0018856
                     15,                 1.5043,                 1.0698,                 1.7117,                0.83126,                0.86325,                0.88183,                0.52712,                 1.4071,                 0.9716,                 1.7471,              0.0018768,              0.0018768,              0.0018768
                     16,                 1.4554,                 1.0245,                 1.6818,                 0.7886,                 0.7849,                0.79852,                0.48402,                 1.4107,                 1.1401,                 1.7651,               0.001868,               0.001868,               0.001868
                     17,                 1.4201,                 1.0243,                 1.6446,                0.78517,                0.88507,                0.87022,                0.51817,                 1.4069,                0.94814,                 1.7299,              0.0018592,              0.0018592,              0.0018592
                     18,                 1.4226,                0.95928,                 1.6446,                0.82282,                0.87322,                0.87739,                0.53827,                 1.3282,                0.99683,                 1.6688,              0.0018504,              0.0018504,              0.0018504
                     19,                 1.3895,                0.98323,                 1.5942,                0.73683,                0.84473,                0.81815,                0.46423,                 1.4479,                 1.1216,                 1.7511,              0.0018416,              0.0018416,              0.0018416
                     20,                  1.359,                0.95949,                 1.5744,                0.80849,                0.88177,                0.86883,                0.51945,                 1.4049,                0.91053,                 1.7286,              0.0018328,              0.0018328,              0.0018328
                     21,                 1.3813,                0.96401,                 1.5842,                0.84167,                0.86467,                0.87969,                0.57481,                 1.2628,                0.88254,                 1.6028,               0.001824,               0.001824,               0.001824
                     22,                 1.3527,                0.95338,                 1.5728,                0.77075,                0.86687,                0.85206,                0.52609,                 1.3061,                 1.0246,                 1.6418,              0.0018152,              0.0018152,              0.0018152
                     23,                 1.3709,                0.95698,                  1.562,                0.85182,                0.89744,                0.90992,                 0.5924,                 1.2557,                0.84241,                 1.6105,              0.0018064,              0.0018064,              0.0018064
                     24,                 1.3276,                0.91258,                 1.5346,                0.86312,                0.87322,                0.91555,                0.59482,                 1.2462,                0.87555,                 1.6061,              0.0017976,              0.0017976,              0.0017976
                     25,                 1.3261,                0.89895,                 1.5312,                0.83062,                0.85222,                0.89436,                 0.5458,                 1.3576,                0.89687,                 1.6561,              0.0017888,              0.0017888,              0.0017888
                     26,                 1.3206,                0.88533,                 1.5436,                0.82694,                 0.8985,                0.87793,                0.56263,                 1.2372,                0.94073,                 1.5721,                0.00178,                0.00178,                0.00178
